species_pair,phylogeny,group,total,positive,negative
112_1-45_1,2.593461393,non-IBD,346,0,346
112_1-46_1,2.462084769,IBD,30,0,30
112_1-46_1,2.462084769,non-IBD,153,0,153
112_1-48_2,2.524306769,IBD,92,0,92
112_1-48_2,2.524306769,non-IBD,401,0,401
112_1-66_3,2.142851162,IBD,24,0,24
112_1-66_3,2.142851162,non-IBD,27,0,27
112_1-66_5,2.135808946,IBD,148,0,148
112_1-66_5,2.135808946,non-IBD,677,0,677
112_1-96_1,0.8226588190000004,IBD,28,0,28
112_1-96_1,0.8226588190000004,non-IBD,39,4,35
112_1-97_1,0.8548069000000003,IBD,37,0,37
112_1-97_1,0.8548069000000003,non-IBD,42,2,40
113_1-335_1,1.980763898,IBD,120,0,120
113_1-335_1,1.980763898,non-IBD,12,0,12
113_1-338_1,2.01492968,IBD,24,0,24
113_1-338_1,2.01492968,non-IBD,27,0,27
113_1-66_5,2.097808781,IBD,23,0,23
113_1-66_5,2.097808781,non-IBD,23,0,23
114_1-66_5,2.093654822,IBD,26,0,26
114_1-66_5,2.093654822,non-IBD,97,0,97
114_1-96_1,0.7805046950000003,IBD,12,12,0
114_1-96_1,0.7805046950000003,non-IBD,16,0,16
114_2-334_1,1.979124192,IBD,12,0,12
114_2-334_1,1.979124192,non-IBD,115,0,115
114_2-338_1,2.010493477,IBD,26,0,26
114_2-338_1,2.010493477,non-IBD,121,0,121
114_2-45_1,2.5510250249999995,IBD,91,0,91
114_2-45_1,2.5510250249999995,non-IBD,117,0,117
114_2-48_2,2.481870401,IBD,51,0,51
114_2-48_2,2.481870401,non-IBD,23,0,23
119_1-120_1,0.1042140119999999,IBD,31,0,31
119_1-120_1,0.1042140119999999,non-IBD,18,0,18
119_1-283_1,1.4181970749999997,IBD,12,0,12
119_1-283_1,1.4181970749999997,non-IBD,66,0,66
119_1-334_3,1.873029263,IBD,61,0,61
119_1-334_3,1.873029263,non-IBD,18,0,18
119_1-335_1,1.8630864019999995,IBD,197,0,197
119_1-335_1,1.8630864019999995,non-IBD,937,0,937
119_1-338_1,1.897252184,IBD,49,0,49
119_1-338_1,1.897252184,non-IBD,522,0,522
119_1-66_5,1.980131285,IBD,115,0,115
119_1-66_5,1.980131285,non-IBD,508,0,508
11_1-335_1,1.6702016459999995,IBD,62,0,62
11_1-335_1,1.6702016459999995,non-IBD,282,0,282
11_1-338_1,1.704367428,IBD,20,0,20
11_1-338_1,1.704367428,non-IBD,148,0,148
11_1-66_5,1.5829991229999998,IBD,13,0,13
