cohort,species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
Dutch,102_2-42_2,21,0,0.0,2.562425288,2
Dutch,102_2-43_1,13,0,0.0,2.5690142979999995,2
Dutch,102_2-44_1,14,0,0.0,2.574086435999999,2
Dutch,102_2-44_3,31,0,0.0,2.5747968759999997,2
Dutch,102_2-45_1,140,0,0.0,2.654263188999999,2
Dutch,102_2-46_1,30,0,0.0,2.522886564999999,2
Dutch,102_2-47_2,1,0,0.0,2.5272960799999997,2
Dutch,102_2-48_2,70,0,0.0,2.585108564999999,2
Dutch,102_2-4_1,4,0,0.0,2.465443310999999,2
Dutch,102_2-50_1,5,0,0.0,2.5800714819999992,2
Dutch,102_2-51_1,1,0,0.0,2.582649711999999,2
Dutch,102_2-62_1,10,0,0.0,2.1751979869999998,2
Dutch,102_2-66_2,4,0,0.0,2.198501762,2
Dutch,102_2-66_5,167,0,0.0,2.1966107419999994,2
Dutch,102_2-69_1,1,0,0.0,2.193762697999999,2
Dutch,102_2-74_1,2,0,0.0,2.189646435,2
Dutch,102_2-8_1,4,0,0.0,2.3622412129999995,2
Dutch,102_2-90_1,19,2,0.10526315789473684,0.7234347669999996,1
Dutch,102_2-92_1,2,0,0.0,0.7865516329999993,1
Dutch,102_2-9_2,2,0,0.0,2.357520107,2
Dutch,103_1-335_1,36,0,0.0,2.0759962069999998,1
Dutch,103_1-42_1,2,0,0.0,2.5596479149999998,2
Dutch,103_1-43_1,4,0,0.0,2.565444646,2
Dutch,103_1-44_3,2,0,0.0,2.571227224,2
Dutch,103_1-45_1,4,0,0.0,2.650693536999999,2
Dutch,103_1-48_2,2,0,0.0,2.5815389129999997,2
Dutch,103_1-51_1,2,0,0.0,2.5790800599999995,2
Dutch,103_1-66_5,20,0,0.0,2.1930410899999995,2
Dutch,103_1-92_1,4,0,0.0,0.7829819809999998,1
Dutch,109_2-125_1,6,0,0.0,0.7664914409999999,2
Dutch,109_2-223_1,1,0,0.0,0.7836351979999994,2
Dutch,109_2-228_2,1,0,0.0,0.8887733129999997,2
Dutch,109_2-229_3,9,0,0.0,0.8703686519999994,2
Dutch,109_2-240_1,4,0,0.0,0.9123437969999996,2
Dutch,109_2-330_1,1,0,0.0,2.049948109,1
Dutch,109_2-334_1,1,0,0.0,2.031419924,1
Dutch,109_2-334_3,4,0,0.0,2.0385662879999997,1
Dutch,109_2-335_1,28,0,0.0,2.0286234269999994,1
Dutch,109_2-66_3,1,0,0.0,2.1527105259999995,2
Dutch,109_2-66_5,26,0,0.0,2.14566831,2
Dutch,10_1-119_1,1,0,0.0,2.136724926,1
Dutch,10_1-11_1,1,0,0.0,0.1397716520000003,2
Dutch,10_1-14_1,3,0,0.0,0.909288578,2
Dutch,10_1-20_1,6,0,0.0,1.1494934769999996,2
Dutch,10_1-229_3,4,0,0.0,2.106039435,2
Dutch,10_1-252_1,2,0,0.0,1.826771831,1
Dutch,10_1-326_1,23,0,0.0,1.6058563890000004,1
Dutch,10_1-32_1,22,0,0.0,1.046234273,2
Dutch,10_1-331_1,5,0,0.0,1.6867529370000005,1
Dutch,10_1-334_1,18,0,0.0,1.6896486530000006,1
Dutch,10_1-335_1,90,0,0.0,1.6868521560000005,1
Dutch,10_1-39_5,14,0,0.0,1.056008859,2
Dutch,10_1-44_1,6,0,0.0,1.0583696529999995,2
Dutch,10_1-45_1,4,0,0.0,1.1385464059999997,2
Dutch,10_1-46_1,5,0,0.0,1.0071697819999996,2
Dutch,10_1-48_2,30,0,0.0,1.0693917819999998,2
Dutch,10_1-66_2,2,0,0.0,1.601540653,2
Dutch,10_1-66_5,44,0,0.0,1.599649633,2
Dutch,10_1-76_2,1,0,0.0,1.596023469,2
Dutch,10_1-90_1,3,0,0.0,2.069963858,1
Dutch,10_2-112_1,53,0,0.0,2.292518416,1
Dutch,10_2-114_1,14,0,0.0,2.250364292,1
Dutch,10_2-114_2,6,0,0.0,2.250082048,1
Dutch,10_2-119_1,24,0,0.0,2.136840755,1
Dutch,10_2-11_1,14,3,0.21428571428571427,0.1398874810000001,2
Dutch,10_2-120_1,7,0,0.0,2.136639429,1
Dutch,10_2-122_1,9,0,0.0,2.221050282,1
Dutch,10_2-123_0,1,0,0.0,2.242752387,1
Dutch,10_2-125_1,38,0,0.0,2.164078793,2
Dutch,10_2-149_1,1,0,0.0,2.088796227,1
Dutch,10_2-14_1,19,4,0.21052631578947367,0.9094044069999998,2
Dutch,10_2-152_1,5,0,0.0,2.080563029,1
Dutch,10_2-154_1,1,0,0.0,2.12977218,1
Dutch,10_2-178_2,1,0,0.0,2.355256796,1
Dutch,10_2-179_1,5,0,0.0,1.875041711,1
Dutch,10_2-196_1,1,0,0.0,1.931822097,2
Dutch,10_2-19_1,7,0,0.0,1.1508856759999997,2
Dutch,10_2-20_1,43,3,0.06976744186046512,1.149609306,2
Dutch,10_2-223_1,10,0,0.0,2.0194218099999994,2
Dutch,10_2-228_2,1,0,0.0,2.124559925,2
Dutch,10_2-229_3,42,0,0.0,2.1061552639999994,2
Dutch,10_2-233_1,3,0,0.0,2.107227359,2
Dutch,10_2-233_3,8,0,0.0,2.108487901,2
Dutch,10_2-240_1,9,0,0.0,2.148130409,2
Dutch,10_2-246_1,1,0,0.0,1.973178608,2
Dutch,10_2-257_1,2,0,0.0,1.960538135,1
Dutch,10_2-263_1,1,0,0.0,2.0593905500000003,1
Dutch,10_2-268_1,3,0,0.0,2.1191569269999992,2
Dutch,10_2-269_1,3,0,0.0,2.114253176,2
Dutch,10_2-26_2,82,18,0.21951219512195122,1.1620874209999994,2
Dutch,10_2-283_1,13,0,0.0,1.994472562,2
Dutch,10_2-297_1,2,0,0.0,1.93650951,2
Dutch,10_2-298_1,3,0,0.0,2.150126144,1
Dutch,10_2-300_1,3,0,0.0,2.156732466,1
Dutch,10_2-308_1,7,0,0.0,1.657357587,2
Dutch,10_2-30_1,9,9,1.0,1.1509169189999997,2
Dutch,10_2-318_21,9,0,0.0,1.5556725850000002,1
Dutch,10_2-318_38,4,0,0.0,1.557819869,1
Dutch,10_2-318_40,12,0,0.0,1.556778643,1
Dutch,10_2-318_44,1,0,0.0,1.5587860340000002,1
Dutch,10_2-318_78,2,0,0.0,1.55652312,1
Dutch,10_2-31_2,3,0,0.0,1.1709059989999997,2
Dutch,10_2-326_1,65,0,0.0,1.6059722180000002,1
Dutch,10_2-32_1,41,4,0.0975609756097561,1.0463501019999994,2
Dutch,10_2-330_1,9,0,0.0,1.708292667,1
Dutch,10_2-332_1,15,0,0.0,1.7349050340000003,1
Dutch,10_2-333_1,2,0,0.0,1.6737463220000002,1
Dutch,10_2-334_1,88,0,0.0,1.689764482,1
Dutch,10_2-334_2,2,0,0.0,1.6941900659999998,1
Dutch,10_2-334_3,21,0,0.0,1.696910846,1
Dutch,10_2-335_1,1559,0,0.0,1.6869679849999997,1
Dutch,10_2-36_1,17,4,0.23529411764705882,1.0639806219999994,2
Dutch,10_2-37_1,8,2,0.25,1.0575170349999996,2
Dutch,10_2-39_2,18,3,0.16666666666666666,1.051361691,2
Dutch,10_2-39_5,56,5,0.08928571428571429,1.0561246879999997,2
Dutch,10_2-40_1,1,0,0.0,1.052935576,2
Dutch,10_2-41_1,3,0,0.0,1.0606573769999996,2
Dutch,10_2-42_2,58,7,0.1206896551724138,1.0468243339999996,2
Dutch,10_2-43_1,42,9,0.21428571428571427,1.053413344,2
Dutch,10_2-44_1,31,9,0.2903225806451613,1.0584854819999996,2
Dutch,10_2-44_3,91,30,0.32967032967032966,1.0591959219999998,2
Dutch,10_2-44_5,1,1,1.0,1.0615796629999994,2
Dutch,10_2-45_1,839,211,0.25148986889153757,1.1386622349999995,2
Dutch,10_2-46_1,161,34,0.2111801242236025,1.007285611,2
Dutch,10_2-47_2,11,2,0.18181818181818182,1.0116951259999998,2
Dutch,10_2-48_2,317,116,0.3659305993690852,1.0695076109999997,2
Dutch,10_2-4_3,11,0,0.0,0.9507602629999998,2
Dutch,10_2-50_1,8,0,0.0,1.0644705279999995,2
Dutch,10_2-51_1,1,0,0.0,1.067048758,2
Dutch,10_2-52_1,2,0,0.0,1.0715835989999998,2
Dutch,10_2-62_1,1,0,0.0,1.5783527070000003,2
Dutch,10_2-66_4,2,0,0.0,1.601247256,2
Dutch,10_2-66_5,506,0,0.0,1.599765462,2
Dutch,10_2-69_1,7,0,0.0,1.596917418,2
Dutch,10_2-69_2,1,0,0.0,1.596669502,2
Dutch,10_2-69_3,2,0,0.0,1.5984221039999995,2
Dutch,10_2-76_2,6,0,0.0,1.596139298,2
Dutch,10_2-78_1,3,0,0.0,1.5850986299999998,2
Dutch,10_2-87_1,2,0,0.0,1.923737261,1
Dutch,10_2-90_1,4,0,0.0,2.070079687,1
Dutch,10_2-92_1,18,0,0.0,2.133196553,1
Dutch,10_2-9_2,10,6,0.6,0.0809630389999997,2
Dutch,111_1-112_1,6,0,0.0,0.286068384,0
Dutch,111_1-179_1,12,0,0.0,1.3755517089999998,0
Dutch,111_1-229_3,30,0,0.0,0.8554371219999997,1
Dutch,111_1-233_3,8,0,0.0,0.857769759,1
Dutch,111_1-26_2,18,0,0.0,2.611814413,1
Dutch,111_1-326_1,4,0,0.0,1.93269613,0
Dutch,111_1-32_1,2,0,0.0,2.496077094,1
Dutch,111_1-330_1,6,0,0.0,2.035016579,0
Dutch,111_1-335_1,1,0,0.0,2.013691897,0
Dutch,111_1-39_5,2,0,0.0,2.50585168,1
Dutch,111_1-42_2,10,0,0.0,2.496551326,1
Dutch,111_1-43_1,8,0,0.0,2.503140336,1
Dutch,111_1-44_1,2,0,0.0,2.508212474,1
Dutch,111_1-44_3,10,0,0.0,2.508922914,1
Dutch,111_1-45_1,156,0,0.0,2.5883892269999995,1
Dutch,111_1-46_1,16,0,0.0,2.4570126029999995,1
Dutch,111_1-48_2,1,0,0.0,2.519234603,1
Dutch,111_1-66_5,6,0,0.0,2.13073678,1
Dutch,111_1-9_2,4,0,0.0,2.291646145,1
Dutch,112_1-113_1,62,0,0.0,0.3063479710000001,0
Dutch,112_1-114_1,24,0,0.0,0.3021940120000002,0
Dutch,112_1-114_2,10,0,0.0,0.3019117680000001,0
Dutch,112_1-116_1,28,8,0.2857142857142857,0.3034285729999997,0
Dutch,112_1-118_1,6,0,0.0,0.2976736849999999,0
Dutch,112_1-119_1,9,0,0.0,0.5673564510000002,0
Dutch,112_1-11_1,11,0,0.0,2.275752077,1
Dutch,112_1-120_1,22,0,0.0,0.5671551250000002,0
Dutch,112_1-125_1,56,17,0.30357142857142855,0.5395377530000003,1
Dutch,112_1-12_1,7,0,0.0,2.282300047,1
Dutch,112_1-149_1,7,0,0.0,1.6681984010000002,0
Dutch,112_1-14_1,31,0,0.0,2.364203565,1
Dutch,112_1-152_1,11,0,0.0,1.659965203,0
Dutch,112_1-171_1,4,0,0.0,1.721248754,1
Dutch,112_1-175_1,1,0,0.0,1.2736594820000002,0
Dutch,112_1-179_1,53,0,0.0,1.3806238750000004,0
Dutch,112_1-196_1,6,0,0.0,0.975043067,1
Dutch,112_1-200_1,1,0,0.0,0.904790711,1
Dutch,112_1-208_1,2,0,0.0,1.6507363899999998,0
Dutch,112_1-20_1,24,0,0.0,2.604408464,1
Dutch,112_1-223_1,83,0,0.0,0.7737758339999998,1
Dutch,112_1-228_2,1,0,0.0,0.8789139490000002,1
Dutch,112_1-229_1,17,0,0.0,0.8600841799999999,1
Dutch,112_1-229_3,189,0,0.0,0.8605092879999998,1
Dutch,112_1-230_1,4,0,0.0,0.8503794920000001,1
Dutch,112_1-233_1,6,0,0.0,0.8615813830000003,1
Dutch,112_1-233_3,26,0,0.0,0.8628419250000001,1
Dutch,112_1-240_1,29,0,0.0,0.902484433,1
Dutch,112_1-246_1,3,0,0.0,1.016399578,1
Dutch,112_1-256_1,10,0,0.0,1.8012192559999998,0
Dutch,112_1-257_1,1,0,0.0,1.539940309,0
Dutch,112_1-268_1,4,0,0.0,0.8735109509999996,1
Dutch,112_1-269_1,2,0,0.0,0.8686072,1
Dutch,112_1-26_2,133,0,0.0,2.6168865789999995,1
Dutch,112_1-283_1,110,0,0.0,1.573874736,1
Dutch,112_1-290_1,3,0,0.0,1.616256286,1
Dutch,112_1-297_1,3,0,0.0,0.9168363140000002,1
Dutch,112_1-298_1,1,0,0.0,1.1304529480000003,0
Dutch,112_1-29_1,1,0,0.0,2.516899197,1
Dutch,112_1-300_1,5,0,0.0,1.13705927,0
Dutch,112_1-308_1,3,0,0.0,1.989153665,1
Dutch,112_1-312_1,5,0,0.0,1.9007797450000004,0
Dutch,112_1-317_1,1,0,0.0,1.900994442,0
Dutch,112_1-318_13,6,0,0.0,1.894970639,0
Dutch,112_1-318_19,2,0,0.0,1.888192635,0
Dutch,112_1-318_21,14,0,0.0,1.887468663,0
Dutch,112_1-318_38,27,0,0.0,1.889615947,0
Dutch,112_1-318_40,1,0,0.0,1.888574721,0
Dutch,112_1-318_78,2,0,0.0,1.888319198,0
Dutch,112_1-324_1,1,0,0.0,1.877706618,0
Dutch,112_1-326_1,80,0,0.0,1.937768296,0
Dutch,112_1-32_1,115,0,0.0,2.50114926,1
Dutch,112_1-330_1,37,0,0.0,2.0400887450000003,0
Dutch,112_1-332_1,16,0,0.0,2.0667011120000005,0
Dutch,112_1-333_1,47,0,0.0,2.0055424000000004,0
Dutch,112_1-334_1,96,0,0.0,2.02156056,0
Dutch,112_1-334_3,44,0,0.0,2.028706924,0
Dutch,112_1-335_1,1599,0,0.0,2.018764063,0
Dutch,112_1-34_1,1,0,0.0,2.406811642,1
Dutch,112_1-36_1,3,0,0.0,2.51877978,1
Dutch,112_1-37_1,13,0,0.0,2.512316193,1
Dutch,112_1-39_2,40,0,0.0,2.506160849,1
Dutch,112_1-39_5,61,0,0.0,2.510923846,1
Dutch,112_1-40_1,1,0,0.0,2.507734734,1
Dutch,112_1-41_1,2,0,0.0,2.515456535,1
Dutch,112_1-42_1,1,0,0.0,2.502415771,1
Dutch,112_1-42_2,57,0,0.0,2.501623492,1
Dutch,112_1-43_1,65,0,0.0,2.508212502,1
Dutch,112_1-44_1,52,0,0.0,2.51328464,1
Dutch,112_1-44_3,100,0,0.0,2.51399508,1
Dutch,112_1-44_4,14,0,0.0,2.522556806,1
Dutch,112_1-44_5,1,0,0.0,2.5163788209999995,1
Dutch,112_1-45_1,744,0,0.0,2.593461393,1
Dutch,112_1-46_1,183,0,0.0,2.462084769,1
Dutch,112_1-47_2,8,0,0.0,2.466494284,1
Dutch,112_1-48_2,493,0,0.0,2.524306769,1
Dutch,112_1-4_1,5,0,0.0,2.404641515,1
Dutch,112_1-50_1,14,0,0.0,2.519269686,1
Dutch,112_1-51_1,9,0,0.0,2.521847916,1
Dutch,112_1-52_1,16,0,0.0,2.526382757,1
Dutch,112_1-62_1,14,0,0.0,2.1143961910000004,1
Dutch,112_1-66_3,51,0,0.0,2.142851162,1
Dutch,112_1-66_4,6,0,0.0,2.13729074,1
Dutch,112_1-66_5,825,0,0.0,2.135808946,1
Dutch,112_1-69_3,3,0,0.0,2.134465588,1
Dutch,112_1-74_1,14,0,0.0,2.128844639,1
Dutch,112_1-76_1,1,0,0.0,2.131528217,1
Dutch,112_1-76_2,14,0,0.0,2.132182782,1
Dutch,112_1-76_3,1,0,0.0,2.121981607,1
Dutch,112_1-77_1,2,0,0.0,2.120306568,1
Dutch,112_1-77_2,12,0,0.0,2.120641818,1
Dutch,112_1-78_2,3,0,0.0,2.1228250460000004,1
Dutch,112_1-78_3,8,0,0.0,2.1215062760000003,1
Dutch,112_1-8_1,4,0,0.0,2.301439417,1
Dutch,112_1-90_1,47,2,0.0425531914893617,0.588003761,0
Dutch,112_1-92_1,7,0,0.0,0.6511206270000005,0
Dutch,112_1-9_2,1,0,0.0,2.296718311,1
Dutch,113_1-116_1,10,0,0.0,0.1774516880000001,0
Dutch,113_1-119_1,6,0,0.0,0.5293562860000001,0
Dutch,113_1-11_1,2,0,0.0,2.237751912,1
Dutch,113_1-120_1,17,0,0.0,0.5291549600000001,0
Dutch,113_1-12_1,4,0,0.0,2.2442998819999995,1
Dutch,113_1-152_1,2,0,0.0,1.621965038,0
Dutch,113_1-20_1,6,0,0.0,2.5664082989999994,1
Dutch,113_1-211_1,3,0,0.0,1.646820846,1
Dutch,113_1-26_2,10,0,0.0,2.578886414,1
Dutch,113_1-297_1,1,0,0.0,0.8788361490000001,1
Dutch,113_1-326_1,2,0,0.0,1.899768131,0
Dutch,113_1-32_1,74,0,0.0,2.463149095,1
Dutch,113_1-334_1,11,0,0.0,1.9835603950000005,0
Dutch,113_1-334_3,4,0,0.0,1.990706759,0
