category,category_name,species_pair_name,species_pair,COG24_FUNCTION_ID,COG24_FUNCTION_NAME,n_row,n_individual,n_genome_pair,n_row_ibd0,n_individual_ibd0,n_genome_pair_ibd0,n_row_ibd1,n_individual_ibd1,n_genome_pair_ibd1,total_row,total_individual,total_genome_pair,total_row_ibd0,total_individual_ibd0,total_genome_pair_ibd0,total_row_ibd1,total_individual_ibd1,total_genome_pair_ibd1,prop_row,prop_individual,prop_genome_pair,prop_row_ibd0,prop_individual_ibd0,prop_genome_pair_ibd0,prop_row_ibd1,prop_individual_ibd1,prop_genome_pair_ibd1,ibd1_positive,ibd1_negative,ibd0_positive,ibd0_negative,fisher_or,fisher_p,fisher_or_haldane,log2_or_haldane,neglog10_p,fisher_q_bh,fisher_sig_bh,direction,label
H,Coenzyme transport and metabolism,Phocaeicola_vulgatus | Bacteroides_stercoris,46_1-52_1,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),1,1,1,0,0,0,1,1,1,20,12,20,15.0,10.0,15.0,5.0,2.0,5.0,0.05,0.0833333333333333,0.05,0.0,0.0,0.0,0.2,0.5,0.2,1,4,0,15,inf,0.25,10.333333333333334,3.3692338096657193,0.6020599913279624,0.7846153846153847,False,IBD_enriched,Phocaeicola_vulgatus | Bacteroides_stercoris | COG0262
H,Coenzyme transport and metabolism,Bacteroides_xylanisolvens | Phocaeicola_vulgatus,44_1-46_1,COG0156,7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0),4,1,4,4,1,4,0,0,0,132,48,132,85.0,42.0,85.0,47.0,6.0,47.0,0.0303030303030303,0.0208333333333333,0.0303030303030303,0.0470588235294117,0.0238095238095238,0.0470588235294117,0.0,0.0,0.0,0,47,4,81,0.0,0.2964072438597558,0.19064327485380117,-2.391052455542183,0.5281111868942029,0.916167844657427,False,nonIBD_enriched,Bacteroides_xylanisolvens | Phocaeicola_vulgatus | COG0156
H,Coenzyme transport and metabolism,Bacteroides_ovatus | Parabacteroides_distasonis,44_3-45_1,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),9,2,9,3,1,3,6,1,6,1627,119,1627,877.0,102.0,877.0,750.0,17.0,750.0,0.0055316533497234,0.0168067226890756,0.0055316533497234,0.0034207525655644,0.0098039215686274,0.0034207525655644,0.008,0.0588235294117647,0.008,6,744,3,874,2.349462365591398,0.31652769882310205,2.1814256931785474,1.1252713314230407,0.4995882795813039,0.9562995447578166,False,IBD_enriched,Bacteroides_ovatus | Parabacteroides_distasonis | COG0476
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Phocaeicola_vulgatus,45_1-46_1,COG1011,"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)",4,1,4,4,1,4,0,0,0,2990,168,2990,2093.0,155.0,2093.0,897.0,13.0,897.0,0.0013377926421404,0.0059523809523809,0.0013377926421404,0.0019111323459149,0.0064516129032258,0.0019111323459149,0.0,0.0,0.0,0,897,4,2089,0.0,0.3234542577857321,0.25868152274837514,-1.9507510868303168,0.490187127656348,0.9562995447578166,False,nonIBD_enriched,Parabacteroides_distasonis | Phocaeicola_vulgatus | COG1011
H,Coenzyme transport and metabolism,Parabacteroides_distasonis | Phocaeicola_vulgatus,45_1-46_1,COG2236,Hypoxanthine phosphoribosyltransferase (Hpt1) (PDB:2JKZ),4,1,4,4,1,4,0,0,0,2990,168,2990,2093.0,155.0,2093.0,897.0,13.0,897.0,0.0013377926421404,0.0059523809523809,0.0013377926421404,0.0019111323459149,0.0064516129032258,0.0019111323459149,0.0,0.0,0.0,0,897,4,2089,0.0,0.3234542577857321,0.25868152274837514,-1.9507510868303168,0.490187127656348,0.9562995447578166,False,nonIBD_enriched,Parabacteroides_distasonis | Phocaeicola_vulgatus | COG2236
H,Coenzyme transport and metabolism,Bacteroides_ovatus | Phocaeicola_massiliensis,44_3-47_2,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),6,1,6,0,0,0,6,1,6,9,2,9,1.0,1.0,1.0,8.0,1.0,8.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,0.0,0.75,1.0,0.75,6,2,0,1,inf,0.3333333333333333,7.8,2.963474123974886,0.4771212547196625,0.9714285714285714,False,IBD_enriched,Bacteroides_ovatus | Phocaeicola_massiliensis | COG0262
H,Coenzyme transport and metabolism,Parabacteroides_merdae | Bacteroides_uniformis,26_2-48_2,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),38,11,38,25,9,25,13,2,13,654,123,654,479.0,113.0,479.0,175.0,10.0,175.0,0.0581039755351682,0.089430894308943,0.0581039755351682,0.0521920668058455,0.079646017699115,0.0521920668058455,0.0742857142857142,0.2,0.0742857142857142,13,162,25,454,1.4572839506172839,0.34425766675088765,1.4807239819004525,0.5663027364702632,0.4631163790578846,0.9891347044673392,False,IBD_enriched,Parabacteroides_merdae | Bacteroides_uniformis | COG0476
H,Coenzyme transport and metabolism,Bacteroides_fragilis | Bacteroides_thetaiotaomicron,32_1-42_2,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),9,1,9,9,1,9,0,0,0,119,25,119,102.0,21.0,102.0,17.0,4.0,17.0,0.0756302521008403,0.04,0.0756302521008403,0.088235294117647,0.0476190476190476,0.088235294117647,0.0,0.0,0.0,0,17,9,93,0.0,0.3549113779233024,0.281203007518797,-1.8303160705009152,0.44988007760338355,1.0,False,nonIBD_enriched,Bacteroides_fragilis | Bacteroides_thetaiotaomicron | COG0262
H,Coenzyme transport and metabolism,Bacteroides_cellulosilyticus | Bacteroides_uniformis,39_5-48_2,COG0476,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),11,2,11,11,2,11,0,0,0,434,60,434,378.0,59.0,378.0,56.0,1.0,56.0,0.0253456221198156,0.0333333333333333,0.0253456221198156,0.0291005291005291,0.0338983050847457,0.0291005291005291,0.0,0.0,0.0,0,56,11,367,0.0,0.372927970686569,0.2828010773374375,-1.8221404787484738,0.4283750420630129,1.0,False,nonIBD_enriched,Bacteroides_cellulosilyticus | Bacteroides_uniformis | COG0476
H,Coenzyme transport and metabolism,Parabacteroides_goldsteinii | Parabacteroides_distasonis,20_1-45_1,COG0262,Dihydrofolate reductase (FolA) (PDB:1DDR),1,1,1,1,1,1,0,0,0,493,40,493,208.0,38.0,208.0,285.0,2.0,285.0,0.0020283975659229,0.025,0.0020283975659229,0.0048076923076923,0.0263157894736842,0.0048076923076923,0.0,0.0,0.0,0,285,1,207,0.0,0.4219066937119675,0.2422650321074139,-2.0453419098497116,0.37478358431446857,1.0,False,nonIBD_enriched,Parabacteroides_goldsteinii | Parabacteroides_distasonis | COG0262
