cohort,species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
Dutch,102_2-8_1,4,0,0.0,2.3622412129999995,1
Dutch,102_2-90_1,19,2,0.10526315789473684,0.7234347669999996,0
Dutch,102_2-96_1,7,0,0.0,0.6985302149999999,0
Dutch,102_2-97_1,31,0,0.0,0.7306782959999998,0
Dutch,102_2-99_2,3,0,0.0,0.6343115770000001,0
Dutch,102_2-9_2,2,0,0.0,2.357520107,1
Dutch,103_1-335_1,36,0,0.0,2.0759962069999998,1
Dutch,103_1-42_1,2,0,0.0,2.5596479149999998,1
Dutch,103_1-43_1,4,0,0.0,2.565444646,1
Dutch,103_1-44_3,2,0,0.0,2.571227224,1
Dutch,103_1-45_1,4,0,0.0,2.650693536999999,1
Dutch,103_1-48_2,2,0,0.0,2.5815389129999997,1
Dutch,103_1-51_1,2,0,0.0,2.5790800599999995,1
Dutch,103_1-66_5,20,0,0.0,2.1930410899999995,0
Dutch,103_2-124_1,3,0,0.0,0.8557787640000001,0
Dutch,103_2-149_1,2,0,0.0,1.7247238299999994,1
Dutch,103_2-179_1,2,0,0.0,1.4371493039999996,1
Dutch,103_2-180_1,4,0,0.0,1.4496250689999997,1
Dutch,103_2-26_2,5,0,0.0,2.6734120079999992,1
Dutch,103_2-335_1,27,0,0.0,2.075289492,1
Dutch,103_2-338_1,21,0,0.0,2.109455273999999,1
Dutch,103_2-45_1,5,0,0.0,2.649986822,1
Dutch,103_2-46_1,3,0,0.0,2.5186101979999997,1
Dutch,103_2-48_2,3,0,0.0,2.580832197999999,1
Dutch,103_2-52_1,2,0,0.0,2.582908186,1
Dutch,104_1-10_2,2,0,0.0,2.275451573,1
Dutch,104_1-112_1,6,0,0.0,0.8680048569999999,0
Dutch,104_1-114_2,1,0,0.0,0.8255684889999997,0
Dutch,104_1-119_1,2,0,0.0,0.7123271959999995,0
Dutch,104_1-124_1,13,0,0.0,0.7821864919999997,0
Dutch,104_1-125_1,1,0,0.0,0.7395652339999996,0
Dutch,104_1-138_1,1,0,0.0,1.6910653349999991,1
Dutch,104_1-14_1,4,0,0.0,2.3471367219999992,1
Dutch,104_1-179_1,1,0,0.0,1.3635570319999992,1
Dutch,104_1-196_1,2,0,0.0,0.9579762239999988,0
Dutch,104_1-223_1,6,0,0.0,0.7567089909999996,0
Dutch,104_1-229_3,9,0,0.0,0.8434424449999991,0
Dutch,104_1-234_2,1,0,0.0,0.8355572069999995,0
Dutch,104_1-238_1,12,0,0.0,0.8263889399999993,0
Dutch,104_1-239_1,1,0,0.0,0.8238892119999996,0
Dutch,104_1-257_1,3,0,0.0,1.5228734659999992,1
Dutch,104_1-269_1,1,0,0.0,0.8515403569999989,0
Dutch,104_1-26_2,7,0,0.0,2.5998197359999997,1
Dutch,104_1-298_1,2,0,0.0,1.1133861049999991,1
Dutch,104_1-318_54,3,0,0.0,1.8734223149999996,1
Dutch,104_1-318_56,23,0,0.0,1.8710457669999996,1
Dutch,104_1-326_1,1,0,0.0,1.9207014529999995,1
Dutch,104_1-32_1,4,0,0.0,2.4840824169999998,1
Dutch,104_1-330_1,28,0,0.0,2.023021901999999,1
Dutch,104_1-334_1,12,0,0.0,2.004493717,1
Dutch,104_1-334_3,5,0,0.0,2.0116400809999995,1
Dutch,104_1-335_1,152,0,0.0,2.00169722,1
Dutch,104_1-336_1,1,0,0.0,2.0196857679999995,1
Dutch,104_1-338_1,119,0,0.0,2.0358630019999997,1
Dutch,104_1-34_1,5,0,0.0,2.389744799,1
Dutch,104_1-39_2,2,0,0.0,2.4890940059999997,1
Dutch,104_1-40_1,2,0,0.0,2.4906678909999997,1
Dutch,104_1-42_1,2,0,0.0,2.485348927999999,1
Dutch,104_1-42_2,6,0,0.0,2.4845566489999995,1
Dutch,104_1-43_1,8,0,0.0,2.4911456589999994,1
Dutch,104_1-44_1,3,0,0.0,2.496217796999999,1
Dutch,104_1-44_3,15,0,0.0,2.496928236999999,1
Dutch,104_1-45_1,56,0,0.0,2.576394549999999,1
Dutch,104_1-46_1,35,0,0.0,2.445017925999999,1
Dutch,104_1-47_2,1,0,0.0,2.449427440999999,1
Dutch,104_1-48_2,27,0,0.0,2.507239925999999,1
Dutch,104_1-4_3,6,0,0.0,2.3884925779999997,1
Dutch,104_1-50_1,4,0,0.0,2.502202842999999,1
Dutch,104_1-51_1,3,0,0.0,2.504781072999999,1
Dutch,104_1-52_1,1,0,0.0,2.509315913999999,1
Dutch,104_1-57_1,1,0,0.0,1.976382325999999,1
Dutch,104_1-66_3,10,0,0.0,2.125784319,0
Dutch,104_1-66_4,4,0,0.0,2.120223897,0
Dutch,104_1-66_5,68,0,0.0,2.1187421029999998,0
Dutch,104_1-74_1,2,0,0.0,2.111777796,0
Dutch,104_1-76_2,4,0,0.0,2.1151159389999994,0
Dutch,104_1-96_1,19,0,0.0,0.6206615759999998,0
Dutch,104_1-97_1,3,0,0.0,0.6528096569999997,0
Dutch,104_1-99_2,5,0,0.0,0.556442938,0
Dutch,106_1-112_1,2,0,0.0,0.8854470320000001,0
Dutch,106_1-318_39,2,0,0.0,1.8916130039999992,1
Dutch,106_1-326_1,1,0,0.0,1.9381436279999995,1
Dutch,106_1-335_1,9,0,0.0,2.019139394999999,1
Dutch,106_1-338_1,3,0,0.0,2.0533051769999995,1
Dutch,106_1-44_3,1,0,0.0,2.5143704119999994,1
Dutch,106_1-48_2,1,0,0.0,2.524682101,1
Dutch,106_1-51_1,2,0,0.0,2.522223247999999,1
Dutch,106_1-66_3,4,0,0.0,2.1432264939999994,0
Dutch,106_1-66_5,20,0,0.0,2.1361842779999995,0
Dutch,107_1-109_2,1,0,0.0,0.2324583869999998,0
Dutch,107_1-112_1,6,1,0.16666666666666666,0.8812246909999999,0
Dutch,107_1-11_1,3,0,0.0,2.2719050679999997,1
Dutch,107_1-120_1,1,0,0.0,0.7253457039999995,0
Dutch,107_1-125_1,7,0,0.0,0.7527850679999997,0
Dutch,107_1-14_1,2,0,0.0,2.3603565559999997,1
Dutch,107_1-171_1,1,0,0.0,1.7174017449999996,1
Dutch,107_1-179_1,6,0,0.0,1.3767768659999993,1
Dutch,107_1-180_1,1,0,0.0,1.3892526309999993,1
Dutch,107_1-223_1,1,0,0.0,0.7699288249999996,0
Dutch,107_1-228_2,1,0,0.0,0.8750669399999995,0
Dutch,107_1-229_2,1,0,0.0,0.8597418969999993,0
Dutch,107_1-229_3,9,0,0.0,0.8566622789999991,0
Dutch,107_1-233_3,1,0,0.0,0.8589949159999994,0
Dutch,107_1-240_1,2,0,0.0,0.898637423999999,0
Dutch,107_1-26_2,13,0,0.0,2.6130395699999998,1
Dutch,107_1-298_1,1,0,0.0,1.1266059389999992,1
Dutch,107_1-300_1,5,0,0.0,1.1332122609999993,1
Dutch,107_1-318_56,1,0,0.0,1.8842656009999996,1
Dutch,107_1-326_1,4,0,0.0,1.9339212869999995,1
Dutch,107_1-32_1,5,0,0.0,2.497302251,1
Dutch,107_1-330_1,1,0,0.0,2.036241735999999,1
Dutch,107_1-334_1,1,0,0.0,2.017713551,1
Dutch,107_1-334_3,2,0,0.0,2.0248599149999995,1
Dutch,107_1-335_1,16,0,0.0,2.014917054,1
Dutch,107_1-338_1,17,0,0.0,2.0490828359999997,1
Dutch,107_1-37_1,6,0,0.0,2.508469183999999,1
Dutch,107_1-42_1,1,0,0.0,2.498568761999999,1
Dutch,107_1-42_2,2,0,0.0,2.4977764829999995,1
Dutch,107_1-44_3,3,0,0.0,2.5101480709999997,1
Dutch,107_1-45_1,43,0,0.0,2.589614383999999,1
Dutch,107_1-46_1,2,0,0.0,2.458237759999999,1
Dutch,107_1-48_2,6,0,0.0,2.520459759999999,1
Dutch,107_1-4_2,1,0,0.0,2.403955764,1
Dutch,107_1-4_3,4,0,0.0,2.4017124119999997,1
Dutch,107_1-66_3,1,0,0.0,2.139004153,0
Dutch,107_1-66_5,25,0,0.0,2.131961937,0
Dutch,107_1-90_1,5,0,0.0,0.6587859619999996,0
Dutch,107_1-97_1,4,0,0.0,0.6660294909999998,0
Dutch,109_1-10_1,2,0,0.0,2.299140817,1
Dutch,109_1-10_2,2,0,0.0,2.2992566459999995,1
Dutch,109_1-19_1,2,0,0.0,2.6124230639999992,1
Dutch,109_1-229_3,15,0,0.0,0.8672475179999992,0
Dutch,109_1-230_1,2,0,0.0,0.8571177219999995,0
Dutch,109_1-233_3,2,0,0.0,0.8695801549999995,0
Dutch,109_1-252_1,1,0,0.0,1.4130280639999993,1
Dutch,109_1-263_1,3,0,0.0,1.6455309539999994,1
Dutch,109_1-26_2,5,0,0.0,2.6236248089999994,1
Dutch,109_1-26_3,2,0,0.0,2.6127317509999988,1
Dutch,109_1-318_54,3,0,0.0,1.8972273879999997,1
Dutch,109_1-318_56,2,0,0.0,1.8948508399999997,1
Dutch,109_1-325_1,1,0,0.0,1.963992481,1
Dutch,109_1-326_1,31,0,0.0,1.944506526,1
Dutch,109_1-32_1,8,0,0.0,2.5078874899999994,1
Dutch,109_1-334_1,9,0,0.0,2.02829879,1
Dutch,109_1-335_1,76,0,0.0,2.025502293,1
Dutch,109_1-338_1,35,0,0.0,2.059668075,1
Dutch,109_1-42_2,3,0,0.0,2.508361722,1
Dutch,109_1-43_1,1,0,0.0,2.5149507319999995,1
Dutch,109_1-44_3,1,0,0.0,2.52073331,1
Dutch,109_1-45_1,11,0,0.0,2.600199622999999,1
Dutch,109_1-46_1,1,0,0.0,2.468822998999999,1
Dutch,109_1-48_2,8,0,0.0,2.5310449989999992,1
Dutch,109_1-4_3,2,0,0.0,2.412297651,1
Dutch,109_1-66_5,46,0,0.0,2.1425471759999994,0
Dutch,109_2-125_1,6,0,0.0,0.7664914409999999,0
Dutch,109_2-223_1,1,0,0.0,0.7836351979999994,0
Dutch,109_2-228_2,1,0,0.0,0.8887733129999997,0
Dutch,109_2-229_3,9,0,0.0,0.8703686519999994,0
Dutch,109_2-240_1,4,0,0.0,0.9123437969999996,0
Dutch,109_2-318_56,36,0,0.0,1.897971974,1
Dutch,109_2-330_1,1,0,0.0,2.049948109,1
Dutch,109_2-334_1,1,0,0.0,2.031419924,1
Dutch,109_2-334_3,4,0,0.0,2.0385662879999997,1
Dutch,109_2-335_1,28,0,0.0,2.0286234269999994,1
Dutch,109_2-338_1,1,0,0.0,2.062789209,1
Dutch,109_2-66_3,1,0,0.0,2.1527105259999995,0
Dutch,109_2-66_5,26,0,0.0,2.14566831,0
Dutch,109_2-97_1,3,0,0.0,0.679735864,0
Dutch,10_1-119_1,1,0,0.0,2.136724926,1
Dutch,10_1-11_1,1,0,0.0,0.1397716520000003,2
Dutch,10_1-14_1,3,0,0.0,0.909288578,2
Dutch,10_1-229_3,4,0,0.0,2.106039435,1
Dutch,10_1-252_1,2,0,0.0,1.826771831,2
Dutch,10_1-26_3,1,0,0.0,1.1510785339999994,2
Dutch,10_1-318_54,1,0,0.0,1.5585772510000002,2
Dutch,10_1-318_56,12,0,0.0,1.5562007030000002,2
Dutch,10_1-325_1,2,0,0.0,1.6253423440000003,2
Dutch,10_1-326_1,23,0,0.0,1.6058563890000004,2
Dutch,10_1-32_1,22,0,0.0,1.046234273,2
Dutch,10_1-331_1,5,0,0.0,1.6867529370000005,2
Dutch,10_1-334_1,18,0,0.0,1.6896486530000006,2
Dutch,10_1-335_1,90,0,0.0,1.6868521560000005,2
Dutch,10_1-338_1,69,0,0.0,1.721017938,2
Dutch,10_1-44_1,6,0,0.0,1.0583696529999995,2
Dutch,10_1-45_1,4,0,0.0,1.1385464059999997,2
Dutch,10_1-46_1,5,0,0.0,1.0071697819999996,2
Dutch,10_1-48_2,30,0,0.0,1.0693917819999998,2
Dutch,10_1-66_2,2,0,0.0,1.601540653,1
Dutch,10_1-66_5,44,0,0.0,1.599649633,1
