species_pair,phylogeny,group,total,HGT,non_HGT
112_1-39_2,2.506160849,within,40,0,40
112_1-39_2,2.506160849,between,12056,0,12056
112_1-39_5,2.510923846,within,64,0,64
112_1-39_5,2.510923846,between,44512,0,44512
112_1-42_2,2.501623492,within,70,0,70
112_1-42_2,2.501623492,between,65562,0,65562
112_1-43_1,2.508212502,within,68,0,68
112_1-43_1,2.508212502,between,49660,0,49660
112_1-44_1,2.5132846399999997,within,71,0,71
112_1-44_1,2.5132846399999997,between,56377,0,56377
112_1-44_3,2.51399508,within,147,0,147
112_1-44_3,2.51399508,between,114989,0,114989
112_1-45_1,2.5934613929999997,within,838,0,838
112_1-45_1,2.5934613929999997,between,441786,0,441786
112_1-46_1,2.462084769,within,222,0,222
112_1-46_1,2.462084769,between,148066,0,148066
112_1-48_2,2.524306769,within,523,0,523
112_1-48_2,2.524306769,between,252149,0,252149
112_1-66_3,2.142851162,within,51,0,51
112_1-66_3,2.142851162,between,9805,0,9805
112_1-66_5,2.135808946,within,833,0,833
112_1-66_5,2.135808946,between,569695,0,569695
112_1-72_1,2.1285475880000004,within,30,0,30
112_1-72_1,2.1285475880000004,between,2882,0,2882
112_1-90_1,0.588003761,within,54,2,52
112_1-90_1,0.588003761,between,26378,60,26318
112_1-96_1,0.8226588190000004,within,73,4,69
112_1-96_1,0.8226588190000004,between,59287,67,59220
112_1-97_1,0.8548069000000003,within,79,2,77
112_1-97_1,0.8548069000000003,between,64209,91,64118
113_1-32_1,2.463149095,within,74,0,74
113_1-32_1,2.463149095,between,7830,0,7830
113_1-335_1,1.980763898,within,132,0,132
113_1-335_1,1.980763898,between,93228,0,93228
113_1-338_1,2.01492968,within,51,0,51
113_1-338_1,2.01492968,between,61293,0,61293
113_1-44_3,2.475994915,within,26,0,26
113_1-44_3,2.475994915,between,8198,0,8198
113_1-45_1,2.5554612279999995,within,42,0,42
113_1-45_1,2.5554612279999995,between,31574,0,31574
113_1-46_1,2.4240846039999995,within,32,0,32
113_1-46_1,2.4240846039999995,between,10560,0,10560
113_1-66_5,2.097808781,within,46,0,46
113_1-66_5,2.097808781,between,40706,0,40706
114_1-335_1,1.9766099389999996,within,229,7,222
114_1-335_1,1.9766099389999996,between,133976,0,133976
114_1-338_1,2.010775721,within,203,0,203
114_1-338_1,2.010775721,between,87979,0,87979
114_1-45_1,2.551307268999999,within,96,0,96
114_1-45_1,2.551307268999999,between,45352,0,45352
114_1-46_1,2.4199306449999995,within,31,0,31
114_1-46_1,2.4199306449999995,between,15195,0,15195
114_1-48_2,2.482152645,within,99,0,99
114_1-48_2,2.482152645,between,25845,0,25845
114_1-66_5,2.093654822,within,123,0,123
114_1-66_5,2.093654822,between,58458,0,58458
114_1-96_1,0.7805046950000003,within,28,12,16
114_1-96_1,0.7805046950000003,between,6067,17,6050
114_1-97_1,0.8126527760000002,within,23,0,23
114_1-97_1,0.8126527760000002,between,6578,0,6578
114_2-318_56,1.845676242,within,34,0,34
114_2-318_56,1.845676242,between,11120,0,11120
114_2-32_1,2.458712892,within,21,0,21
114_2-32_1,2.458712892,between,12823,0,12823
114_2-334_1,1.979124192,within,127,0,127
114_2-334_1,1.979124192,between,10533,0,10533
114_2-335_1,1.976327695,within,324,0,324
114_2-335_1,1.976327695,between,151386,0,151386
114_2-336_1,1.994316243,within,31,0,31
114_2-336_1,1.994316243,between,3401,0,3401
114_2-338_1,2.010493477,within,154,0,154
114_2-338_1,2.010493477,between,99530,0,99530
114_2-42_2,2.459187124,within,25,0,25
114_2-42_2,2.459187124,between,7593,0,7593
114_2-45_1,2.5510250249999995,within,210,0,210
114_2-45_1,2.5510250249999995,between,51166,0,51166
114_2-46_1,2.419648400999999,within,85,0,85
114_2-46_1,2.419648400999999,between,17127,0,17127
114_2-48_2,2.4818704009999997,within,87,0,87
114_2-48_2,2.4818704009999997,between,29241,0,29241
114_2-66_5,2.093372578,within,77,0,77
114_2-66_5,2.093372578,between,66145,0,66145
116_1-241_1,0.8591570699999997,within,21,0,21
116_1-241_1,0.8591570699999997,between,231,0,231
116_1-26_2,2.575967015999999,within,38,0,38
116_1-26_2,2.575967015999999,between,17206,0,17206
116_1-32_1,2.4602296969999995,within,28,0,28
116_1-32_1,2.4602296969999995,between,17756,0,17756
116_1-334_3,1.9877873609999992,within,38,0,38
116_1-334_3,1.9877873609999992,between,8026,0,8026
116_1-335_1,1.9778444999999996,within,212,0,212
116_1-335_1,1.9778444999999996,between,209848,0,209848
116_1-338_1,2.012010281999999,within,224,0,224
116_1-338_1,2.012010281999999,between,137800,0,137800
116_1-45_1,2.5525418299999996,within,42,0,42
116_1-45_1,2.5525418299999996,between,71094,0,71094
116_1-46_1,2.4211652059999995,within,35,0,35
