variant	af	lrt-pvalue	beta	notes	fdr	log10p
DUF5053 domain-containing protein	1.67E-01	2.02E-04	4.11E+00		0.0117616	3.694649
group_16072	8.73E-02	2.12E-04	4.74E+00		0.0117616	3.673664
group_10309	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
phage terminase small subunit P27 family	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
head-tail connector protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
Phage major tail 2 family protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
phage portal protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
RHH-4 domain-containing protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
Terminase large subunit	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
Head-tail adaptor protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
DUF1819 domain-containing protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
phage major capsid protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
group_8107	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
Phage minor structural protein	1.75E-01	2.14E-04	4.10E+00		0.0117616	3.669586
DUF1003 domain-containing protein	2.30E-01	2.15E-04	2.82E+00		0.0117616	3.667562
group_184	1.98E-01	2.37E-04	2.61E+00		0.012801	3.625252
group_1749	1.03E-01	2.42E-04	3.58E+00		0.0129077	3.616185
group_653	4.05E-01	2.75E-04	2.09E+00		0.0140414	3.560667
group_142	8.73E-02	2.77E-04	4.18E+00		0.0140414	3.557520
group_9470	8.33E-01	2.81E-04	-4.49E+00		0.0140414	3.551294
DNA-binding protein HU	8.33E-01	2.81E-04	-4.49E+00		0.0140414	3.551294
group_2758	8.33E-01	2.81E-04	-4.49E+00		0.0140414	3.551294
G-PROTEIN-RECEP-F1-2 domain-containing protein	2.94E-01	2.83E-04	-3.33E+00		0.0140414	3.548214
group_6106	8.25E-01	3.32E-04	-4.48E+00		0.0160132	3.478862
group_6107	8.25E-01	3.32E-04	-4.48E+00		0.0160132	3.478862
group_6385	1.43E-01	3.34E-04	2.73E+00		0.0160132	3.476254
group_4740	1.03E-01	3.41E-04	3.67E+00		0.0161147	3.467246
Helix-turn-helix domain protein	1.27E-01	3.55E-04	3.69E+00		0.0161147	3.449772
group_6672	1.27E-01	3.55E-04	3.69E+00		0.0161147	3.449772
group_2914	1.51E-01	3.55E-04	2.72E+00		0.0161147	3.449772
group_7710	1.51E-01	3.55E-04	2.72E+00		0.0161147	3.449772
group_6866	1.67E-01	3.71E-04	3.11E+00		0.0166638	3.430626
group_4191	7.06E-01	3.87E-04	-4.20E+00		0.0172013	3.412289
group_1986	1.59E-01	4.04E-04	3.49E+00		0.0177718	3.393619
group_1503	1.51E-01	4.32E-04	-7.55E+00		0.0188096	3.364516
group_6108	8.25E-01	4.40E-04	-4.06E+00		0.0189644	3.356547
HK97 family phage prohead protease	1.67E-01	4.84E-04	3.79E+00		0.0206523	3.315155
Cell filamentation protein Fic	1.67E-01	4.93E-04	2.99E+00		0.020828	3.307153
group_13223	9.52E-02	4.98E-04	3.54E+00		0.020833	3.302771
group_11539	1.43E-01	5.08E-04	5.35E+00		0.0208427	3.294136
btgB	1.43E-01	5.08E-04	5.35E+00		0.0208427	3.294136
group_7142	2.38E-01	5.61E-04	-7.42E+00		0.0225829	3.251037
group_12536	2.38E-01	5.61E-04	-7.42E+00		0.0225829	3.251037
group_7912	1.03E-01	5.67E-04	3.90E+00		0.0226111	3.246417
group_5414	2.46E-01	5.76E-04	3.29E+00		0.0227573	3.239578
Putative exported transmembrane protein	1.03E-01	5.84E-04	3.93E+00		0.0228617	3.233587
group_1501	8.49E-01	5.96E-04	7.78E+00		0.0231194	3.224754
group_1210	8.73E-02	6.11E-04	3.55E+00		0.0234877	3.213959
group_2416	1.98E-01	6.25E-04	-3.07E+00		0.0235059	3.204120
group_7801	1.98E-01	6.25E-04	-3.07E+00		0.0235059	3.204120
group_7021	2.30E-01	6.28E-04	3.53E+00		0.0235059	3.202040
DUF1471 domain-containing protein	1.98E-01	6.54E-04	2.87E+00		0.0239719	3.184422
group_4504	8.73E-01	6.69E-04	7.84E+00		0.0239719	3.174574
group_7966	1.19E-01	6.70E-04	-7.84E+00		0.0239719	3.173925
group_7967	1.19E-01	6.70E-04	-7.84E+00		0.0239719	3.173925
