species_pair,phylogeny,HGT_total_genome_pair_IBD,HGT_positive_genome_pair_IBD,HGT_rate_IBD,HGT_total_genome_pair_non_IBD,HGT_positive_genome_pair_non_IBD,HGT_rate_non_IBD,plasmid_HGT_total_genome_pair_IBD,plasmid_HGT_positive_genome_pair_IBD,plasmid_HGT_rate_IBD,plasmid_HGT_total_genome_pair_non_IBD,plasmid_HGT_positive_genome_pair_non_IBD,plasmid_HGT_rate_non_IBD,nonplasmid_HGT_total_genome_pair_IBD,nonplasmid_HGT_total_genome_pair_non_IBD,nonplasmid_HGT_positive_genome_pair_IBD,nonplasmid_HGT_positive_genome_pair_non_IBD,nonplasmid_HGT_rate_IBD,nonplasmid_HGT_rate_non_IBD
335_1-45_1,1.987910962,10734,0,0.0,14929,0,0.0,10734,0,0.0,14929,0,0.0,10734.0,14929.0,0.0,0.0,0.0,0.0
335_1-46_1,1.856534338,594,0,0.0,4431,1,0.0002256826901376,594,0,0.0,4431,1,0.0002256826901376,594.0,4431.0,0.0,0.0,0.0,0.0
335_1-48_2,1.918756338,2070,0,0.0,6243,5,0.0008008970046452,2070,0,0.0,6243,4,0.0006407176037161,2070.0,6243.0,0.0,1.0,0.0,0.000160179400929
335_1-66_5,1.5302585149999997,2377,16,0.0067311737484223,17249,79,0.0045799756507623,2377,0,0.0,17249,0,0.0,2377.0,17249.0,16.0,79.0,0.0067311737484223,0.0045799756507623
335_1-90_1,1.7963253339999994,47,0,0.0,759,0,0.0,47,0,0.0,759,0,0.0,47.0,759.0,0.0,0.0,0.0,0.0
335_1-96_1,1.956351182,783,0,0.0,1206,0,0.0,783,0,0.0,1206,0,0.0,783.0,1206.0,0.0,0.0,0.0,0.0
335_1-97_1,1.988499263,1113,0,0.0,1116,0,0.0,1113,0,0.0,1116,0,0.0,1113.0,1116.0,0.0,0.0,0.0,0.0
336_1-338_1,0.1781277420000002,748,17,0.0227272727272727,167,4,0.0239520958083832,748,0,0.0,167,4,0.0239520958083832,748.0,167.0,17.0,0.0,0.0227272727272727,0.0
336_1-66_5,1.548247063,961,0,0.0,106,0,0.0,961,0,0.0,106,0,0.0,961.0,106.0,0.0,0.0,0.0,0.0
338_1-42_2,1.930238843,414,0,0.0,1039,0,0.0,414,0,0.0,1039,0,0.0,414.0,1039.0,0.0,0.0,0.0,0.0
338_1-44_1,1.941899991,1175,0,0.0,458,0,0.0,1175,0,0.0,458,0,0.0,1175.0,458.0,0.0,0.0,0.0,0.0
338_1-44_3,1.942610431,1009,0,0.0,1484,0,0.0,1009,0,0.0,1484,0,0.0,1009.0,1484.0,0.0,0.0,0.0,0.0
338_1-45_1,2.022076744,9815,0,0.0,10142,0,0.0,9815,0,0.0,10142,0,0.0,9815.0,10142.0,0.0,0.0,0.0,0.0
338_1-46_1,1.89070012,695,0,0.0,2780,0,0.0,695,0,0.0,2780,0,0.0,695.0,2780.0,0.0,0.0,0.0,0.0
338_1-48_2,1.95292212,2615,55,0.0210325047801147,3905,0,0.0,2615,41,0.0156787762906309,3905,0,0.0,2615.0,3905.0,40.0,0.0,0.0152963671128107,0.0
338_1-66_5,1.5644242970000002,2449,36,0.0146998775010208,10739,1,9.311853990129437e-05,2449,8,0.0032666394446712,10739,1,9.311853990129437e-05,2449.0,10739.0,28.0,0.0,0.0114332380563495,0.0
338_1-96_1,1.990516964,526,0,0.0,990,0,0.0,526,0,0.0,990,0,0.0,526.0,990.0,0.0,0.0,0.0,0.0
338_1-97_1,2.022665045,275,0,0.0,1047,0,0.0,275,0,0.0,1047,0,0.0,275.0,1047.0,0.0,0.0,0.0,0.0
42_2-44_1,0.071183086,39,34,0.8717948717948718,30,15,0.5,39,16,0.4102564102564102,30,10,0.3333333333333333,39.0,30.0,26.0,13.0,0.6666666666666666,0.4333333333333333
42_2-44_3,0.0718935259999997,43,40,0.9302325581395348,139,62,0.4460431654676259,43,0,0.0,139,34,0.2446043165467626,43.0,139.0,40.0,54.0,0.9302325581395348,0.3884892086330935
42_2-45_1,0.4673688170000001,488,382,0.7827868852459017,766,199,0.2597911227154047,488,107,0.2192622950819672,766,24,0.031331592689295,488.0,766.0,344.0,186.0,0.7049180327868853,0.2428198433420365
42_2-48_2,0.1924662529999996,128,77,0.6015625,289,129,0.4463667820069204,128,47,0.3671875,289,70,0.2422145328719723,128.0,289.0,38.0,101.0,0.296875,0.3494809688581315
42_2-66_5,1.808870538,102,0,0.0,655,0,0.0,102,0,0.0,655,0,0.0,102.0,655.0,0.0,0.0,0.0,0.0
44_1-44_3,0.018028584,37,25,0.6756756756756757,50,22,0.44,37,15,0.4054054054054054,50,1,0.02,37.0,50.0,25.0,22.0,0.6756756756756757,0.44
44_1-45_1,0.4790299649999996,1166,557,0.4777015437392796,160,31,0.19375,1166,388,0.3327615780445969,160,12,0.075,1166.0,160.0,241.0,24.0,0.2066895368782161,0.15
44_1-46_1,0.2585427589999995,47,47,1.0,85,51,0.6,47,32,0.6808510638297872,85,19,0.2235294117647059,47.0,85.0,40.0,40.0,0.851063829787234,0.4705882352941176
44_1-48_2,0.2041274009999996,213,167,0.784037558685446,189,145,0.7671957671957672,213,112,0.5258215962441315,189,74,0.3915343915343915,213.0,189.0,74.0,136.0,0.3474178403755869,0.7195767195767195
44_1-66_5,1.820531686,104,0,0.0,369,2,0.005420054200542,104,0,0.0,369,1,0.002710027100271,104.0,369.0,0.0,1.0,0.0,0.002710027100271
44_3-45_1,0.4797404049999998,750,336,0.448,877,322,0.3671607753705815,750,80,0.1066666666666666,877,18,0.0205245153933865,750.0,877.0,263.0,307.0,0.3506666666666667,0.3500570125427594
44_3-46_1,0.2592531990000002,59,23,0.3898305084745763,261,90,0.3448275862068966,59,14,0.2372881355932203,261,42,0.160919540229885,59.0,261.0,23.0,63.0,0.3898305084745763,0.2413793103448276
44_3-48_2,0.2048378409999998,347,260,0.7492795389048992,362,188,0.5193370165745856,347,70,0.2017291066282421,362,59,0.1629834254143646,347.0,362.0,256.0,171.0,0.7377521613832853,0.4723756906077348
44_3-66_5,1.821242126,362,0,0.0,878,2,0.0022779043280182,362,0,0.0,878,2,0.0022779043280182,362.0,878.0,0.0,0.0,0.0,0.0
45_1-46_1,0.4278300939999995,897,269,0.2998885172798216,2093,909,0.4343048256091734,897,93,0.1036789297658862,2093,117,0.0559006211180124,897.0,2093.0,228.0,882.0,0.2541806020066889,0.4214046822742475
45_1-48_2,0.4900520939999997,2627,1882,0.7164065473924629,2014,1163,0.5774577954319762,2627,587,0.2234488009135896,2014,139,0.0690168818272095,2627.0,2014.0,1624.0,1129.0,0.6181956604491816,0.5605759682224429
45_1-66_5,1.9007084389999995,1558,0,0.0,5816,26,0.0044704264099037,1558,0,0.0,5816,23,0.0039546079779917,1558.0,5816.0,0.0,11.0,0.0,0.0018913342503438
45_1-90_1,2.3710226639999994,224,0,0.0,57,0,0.0,224,0,0.0,57,0,0.0,224.0,57.0,0.0,0.0,0.0,0.0
45_1-96_1,2.5310485119999995,559,0,0.0,245,0,0.0,559,0,0.0,245,0,0.0,559.0,245.0,0.0,0.0,0.0,0.0
45_1-97_1,2.563196593,795,0,0.0,497,0,0.0,795,0,0.0,497,0,0.0,795.0,497.0,0.0,0.0,0.0,0.0
46_1-48_2,0.2695648880000001,64,53,0.828125,836,470,0.562200956937799,64,26,0.40625,836,120,0.1435406698564593,64.0,836.0,41.0,432.0,0.640625,0.5167464114832536
46_1-66_5,1.769331815,66,0,0.0,1820,3,0.0016483516483516,66,0,0.0,1820,0,0.0,66.0,1820.0,0.0,3.0,0.0,0.0016483516483516
48_2-66_5,1.831553815,680,0,0.0,2836,6,0.0021156558533145,680,0,0.0,2836,5,0.0017630465444287,680.0,2836.0,0.0,2.0,0.0,0.0007052186177715
48_2-97_1,2.4940419689999995,81,0,0.0,228,0,0.0,81,0,0.0,228,0,0.0,81.0,228.0,0.0,0.0,0.0,0.0
66_5-76_2,0.0801062999999997,557,0,0.0,159,17,0.1069182389937107,557,0,0.0,159,12,0.0754716981132075,557.0,159.0,0.0,5.0,0.0,0.0314465408805031
66_5-90_1,1.9133702169999995,55,0,0.0,343,0,0.0,55,0,0.0,343,0,0.0,55.0,343.0,0.0,0.0,0.0,0.0
66_5-96_1,2.073396065,181,0,0.0,538,0,0.0,181,0,0.0,538,0,0.0,181.0,538.0,0.0,0.0,0.0,0.0
66_5-97_1,2.105544146,180,0,0.0,686,0,0.0,180,0,0.0,686,0,0.0,180.0,686.0,0.0,0.0,0.0,0.0
96_1-97_1,0.111470047,91,10,0.1098901098901098,69,12,0.1739130434782608,91,0,0.0,69,1,0.0144927536231884,91.0,69.0,10.0,11.0,0.1098901098901098,0.1594202898550724
