variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_6454	2.36E-02	3.94E-04	2.60E+00		0.0120468	3.404504
group_2159	8.80E-02	3.94E-04	1.56E+00		0.0120468	3.404504
group_11507	4.10E-01	4.10E-04	-1.34E+00		0.0125016	3.387216
Phage-CRI domain-containing protein	2.02E-01	4.16E-04	1.22E+00		0.0126498	3.380907
group_31202	7.51E-02	4.20E-04	2.11E+00		0.0126673	3.376751
Calcineurin-like phosphoesterase superfamily protein	7.51E-02	4.20E-04	2.11E+00		0.0126673	3.376751
group_31258	7.51E-02	4.20E-04	2.11E+00		0.0126673	3.376751
group_1134	6.01E-02	4.30E-04	2.02E+00		0.0129288	3.366532
DUF4352 domain-containing protein	9.61E-01	4.31E-04	-2.06E+00		0.0129288	3.365523
group_1620	6.57E-01	4.41E-04	-1.26E+00		0.0131932	3.355561
Glycosyltransferase family 2 protein	2.12E-01	4.57E-04	1.27E+00		0.0136351	3.340084
group_8616	1.12E-01	4.59E-04	1.45E+00		0.013658	3.338187
group_9038	6.87E-02	4.61E-04	1.56E+00		0.013674	3.336299
Putative pyruvyl transferase, EpsO-like	4.94E-02	4.62E-04	1.82E+00		0.013674	3.335358
group_16617	7.30E-02	4.65E-04	1.69E+00		0.0137262	3.332547
group_23128	6.65E-02	4.71E-04	1.66E+00		0.0138664	3.326979
Transglutaminase domain-containing protein	4.51E-01	4.75E-04	1.16E+00		0.0139472	3.323306
group_19213	4.51E-02	4.79E-04	1.96E+00		0.0139539	3.319664
2-amino-3-ketobutyrate coenzyme A ligase	4.51E-02	4.79E-04	1.96E+00		0.0139539	3.319664
group_10718	4.51E-02	4.79E-04	1.96E+00		0.0139539	3.319664
group_32454	5.79E-02	4.81E-04	2.09E+00		0.0139754	3.317855
group_1441	6.91E-01	4.85E-04	-1.22E+00		0.0140549	3.314258
group_16072	6.44E-02	5.00E-04	1.84E+00		0.0144518	3.301030
group_3861	5.15E-02	5.03E-04	1.79E+00		0.0145008	3.298432
PLAT domain-containing protein	1.57E-01	5.07E-04	1.24E+00		0.0145782	3.294992
group_15967	7.73E-02	5.14E-04	1.57E+00		0.0146655	3.289037
group_15965	7.73E-02	5.14E-04	1.57E+00		0.0146655	3.289037
group_5804	7.73E-02	5.14E-04	1.57E+00		0.0146655	3.289037
group_16620	7.51E-02	5.33E-04	1.66E+00		0.0150146	3.273273
group_19214	7.51E-02	5.33E-04	1.66E+00		0.0150146	3.273273
HK97 family phage portal protein	7.51E-02	5.33E-04	1.66E+00		0.0150146	3.273273
group_9747	7.51E-02	5.33E-04	1.66E+00		0.0150146	3.273273
group_19212	7.51E-02	5.33E-04	1.66E+00		0.0150146	3.273273
group_22425	1.31E-01	5.55E-04	1.38E+00		0.0155834	3.255707
