category,category_name,species_pair_name,species_pair,COG24_FUNCTION_ID,COG24_FUNCTION_NAME,n_row,n_individual,n_genome_pair,n_row_ibd0,n_individual_ibd0,n_genome_pair_ibd0,n_row_ibd1,n_individual_ibd1,n_genome_pair_ibd1,total_row,total_individual,total_genome_pair,total_row_ibd0,total_individual_ibd0,total_genome_pair_ibd0,total_row_ibd1,total_individual_ibd1,total_genome_pair_ibd1,prop_row,prop_individual,prop_genome_pair,prop_row_ibd0,prop_individual_ibd0,prop_genome_pair_ibd0,prop_row_ibd1,prop_individual_ibd1,prop_genome_pair_ibd1,ibd1_positive,ibd1_negative,ibd0_positive,ibd0_negative,fisher_or,fisher_p,fisher_or_haldane,log2_or_haldane,neglog10_p,fisher_q_bh,fisher_sig_bh,direction,label
C,Energy production and conversion,Bacteroides_nordii | Phocaeicola_vulgatus,37_1-46_1,COG1035,"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)",1,1,1,1,1,1,0,0,0,43,11,43,43.0,11.0,43.0,0.0,0.0,0.0,0.0232558139534883,0.0909090909090909,0.0232558139534883,0.0232558139534883,0.0909090909090909,0.0232558139534883,0.0,0.0,0.0,0,0,1,42,,1.0,28.333333333333332,4.824428435416546,-0.0,1.0,False,IBD_enriched,Bacteroides_nordii | Phocaeicola_vulgatus | COG1035
C,Energy production and conversion,Collinsella_sp900541125 | Collinsella_sp900541125,318_39-318_56,COG0655,"Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase (WrbA) (PDB:4DY4) (PUBMED:9694845;16672604;17951395)",1,1,1,1,1,1,0,0,0,18,1,18,18.0,1.0,18.0,0.0,0.0,0.0,0.0555555555555555,1.0,0.0555555555555555,0.0555555555555555,1.0,0.0555555555555555,0.0,0.0,0.0,0,0,1,17,,1.0,11.666666666666666,3.5443205162238103,-0.0,1.0,False,IBD_enriched,Collinsella_sp900541125 | Collinsella_sp900541125 | COG0655
C,Energy production and conversion,Bacteroides_cellulosilyticus | Phocaeicola_vulgatus,39_5-46_1,COG0716,Flavodoxin (FldA) (PDB:1AG9),14,1,14,14,1,14,0,0,0,135,50,135,135.0,50.0,135.0,0.0,0.0,0.0,0.1037037037037037,0.02,0.1037037037037037,0.1037037037037037,0.02,0.1037037037037037,0.0,0.0,0.0,0,0,14,121,,1.0,8.379310344827585,3.0668315084782085,-0.0,1.0,False,IBD_enriched,Bacteroides_cellulosilyticus | Phocaeicola_vulgatus | COG0716
C,Energy production and conversion,Phocaeicola_vulgatus | Bacteroides_eggerthii,46_1-50_1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",1,1,1,1,1,1,0,0,0,64,20,64,62.0,19.0,62.0,2.0,1.0,2.0,0.015625,0.05,0.015625,0.0161290322580645,0.0526315789473684,0.0161290322580645,0.0,0.0,0.0,0,2,1,61,0.0,1.0,8.2,3.035623909730721,-0.0,1.0,False,IBD_enriched,Phocaeicola_vulgatus | Bacteroides_eggerthii | COG2764
C,Energy production and conversion,Parabacteroides_merdae | Bacteroides_intestinalis,26_2-39_2,COG0716,Flavodoxin (FldA) (PDB:1AG9),1,1,1,1,1,1,0,0,0,36,17,36,35.0,16.0,35.0,1.0,1.0,1.0,0.0277777777777777,0.0588235294117647,0.0277777777777777,0.0285714285714285,0.0625,0.0285714285714285,0.0,0.0,0.0,0,1,1,34,0.0,1.0,7.666666666666667,2.9385994553358565,-0.0,1.0,False,IBD_enriched,Parabacteroides_merdae | Bacteroides_intestinalis | COG0716
C,Energy production and conversion,Collinsella_sp900541125 | Collinsella_sp900540945,318_39-318_8,COG1882,Pyruvate-formate lyase (PflD) (PDB:1CM5) (PUBMED:1310545;31494759),1,1,1,1,1,1,0,0,0,10,2,10,10.0,2.0,10.0,0.0,0.0,0.0,0.1,0.5,0.1,0.1,0.5,0.1,0.0,0.0,0.0,0,0,1,9,,1.0,6.333333333333333,2.662965012722429,-0.0,1.0,False,IBD_enriched,Collinsella_sp900541125 | Collinsella_sp900540945 | COG1882
C,Energy production and conversion,Bacteroides_intestinalis | Bacteroides_uniformis,39_2-48_2,COG0716,Flavodoxin (FldA) (PDB:1AG9),2,1,2,2,1,2,0,0,0,71,24,71,69.0,23.0,69.0,2.0,1.0,2.0,0.028169014084507,0.0416666666666666,0.028169014084507,0.0289855072463768,0.0434782608695652,0.0289855072463768,0.0,0.0,0.0,0,2,2,67,0.0,1.0,5.4,2.4329594072761065,-0.0,1.0,False,IBD_enriched,Bacteroides_intestinalis | Bacteroides_uniformis | COG0716
C,Energy production and conversion,Collinsella_sp900541125 | Collinsella_sp900541125,318_39-318_56,COG1592,Rubrerythrin (YotD) (PDB:1B71),3,1,3,3,1,3,0,0,0,18,1,18,18.0,1.0,18.0,0.0,0.0,0.0,0.1666666666666666,1.0,0.1666666666666666,0.1666666666666666,1.0,0.1666666666666666,0.0,0.0,0.0,0,0,3,15,,1.0,4.428571428571429,2.146841388329271,-0.0,1.0,False,IBD_enriched,Collinsella_sp900541125 | Collinsella_sp900541125 | COG1592
C,Energy production and conversion,Oliverpabstia_intestinalis | Bariatricus_comes,149_1-152_1,COG0778,Nitroreductase (NfnB) (PDB:1F5V),1,1,1,1,1,1,0,0,0,7,3,7,7.0,3.0,7.0,0.0,0.0,0.0,0.1428571428571428,0.3333333333333333,0.1428571428571428,0.1428571428571428,0.3333333333333333,0.1428571428571428,0.0,0.0,0.0,0,0,1,6,,1.0,4.333333333333333,2.1154772174199357,-0.0,1.0,False,IBD_enriched,Oliverpabstia_intestinalis | Bariatricus_comes | COG0778
C,Energy production and conversion,Bacteroides_thetaiotaomicron | Phocaeicola_vulgatus,42_2-46_1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",1,1,1,1,1,1,0,0,0,239,73,239,220.0,70.0,220.0,19.0,3.0,19.0,0.00418410041841,0.0136986301369863,0.00418410041841,0.0045454545454545,0.0142857142857142,0.0045454545454545,0.0,0.0,0.0,0,19,1,219,0.0,1.0,3.752136752136752,1.9077124099519536,-0.0,1.0,False,IBD_enriched,Bacteroides_thetaiotaomicron | Phocaeicola_vulgatus | COG2764
C,Energy production and conversion,Bacteroides_ovatus | Bacteroides_eggerthii,44_3-50_1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",3,1,3,3,1,3,0,0,0,32,15,32,31.0,14.0,31.0,1.0,1.0,1.0,0.09375,0.0666666666666666,0.09375,0.0967741935483871,0.0714285714285714,0.0967741935483871,0.0,0.0,0.0,0,1,3,28,0.0,1.0,2.7142857142857144,1.4405725913859815,-0.0,1.0,False,IBD_enriched,Bacteroides_ovatus | Bacteroides_eggerthii | COG2764
C,Energy production and conversion,Collinsella_sp900541125 | Collinsella_sp900541125,318_54-318_56,COG0546,"Phosphoglycolate phosphatase, HAD superfamily (Gph) (PDB:2NYV)",12,1,12,12,1,12,0,0,0,45,3,45,45.0,3.0,45.0,0.0,0.0,0.0,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.0,0.0,0.0,0,0,12,33,,1.0,2.68,1.4222330006830477,-0.0,1.0,False,IBD_enriched,Collinsella_sp900541125 | Collinsella_sp900541125 | COG0546
C,Energy production and conversion,Phocaeicola_vulgatus | Bacteroides_uniformis,46_1-48_2,COG0546,"Phosphoglycolate phosphatase, HAD superfamily (Gph) (PDB:2NYV)",2,1,2,2,1,2,0,0,0,900,161,900,836.0,153.0,836.0,64.0,8.0,64.0,0.0022222222222222,0.0062111801242236,0.0022222222222222,0.0023923444976076,0.0065359477124183,0.0023923444976076,0.0,0.0,0.0,0,64,2,834,0.0,1.0,2.587596899224806,1.3716128890519823,-0.0,1.0,False,IBD_enriched,Phocaeicola_vulgatus | Bacteroides_uniformis | COG0546
C,Energy production and conversion,Bacteroides_thetaiotaomicron | Phocaeicola_vulgatus,42_2-46_1,COG1853,"FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)",2,1,2,2,1,2,0,0,0,239,73,239,220.0,70.0,220.0,19.0,3.0,19.0,0.00836820083682,0.0136986301369863,0.00836820083682,0.009090909090909,0.0142857142857142,0.009090909090909,0.0,0.0,0.0,0,19,2,218,0.0,1.0,2.241025641025641,1.1641591557509878,-0.0,1.0,False,IBD_enriched,Bacteroides_thetaiotaomicron | Phocaeicola_vulgatus | COG1853
C,Energy production and conversion,Parabacteroides_merdae | Bacteroides_thetaiotaomicron,26_2-42_2,COG0716,Flavodoxin (FldA) (PDB:1AG9),1,1,1,1,1,1,0,0,0,120,56,120,103.0,52.0,103.0,17.0,4.0,17.0,0.0083333333333333,0.0178571428571428,0.0083333333333333,0.0097087378640776,0.0192307692307692,0.0097087378640776,0.0,0.0,0.0,0,17,1,102,0.0,1.0,1.9523809523809523,0.9652345818393233,-0.0,1.0,False,IBD_enriched,Parabacteroides_merdae | Bacteroides_thetaiotaomicron | COG0716
C,Energy production and conversion,Parabacteroides_merdae | Bacteroides_thetaiotaomicron,26_2-42_2,COG1035,"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)",1,1,1,1,1,1,0,0,0,120,56,120,103.0,52.0,103.0,17.0,4.0,17.0,0.0083333333333333,0.0178571428571428,0.0083333333333333,0.0097087378640776,0.0192307692307692,0.0097087378640776,0.0,0.0,0.0,0,17,1,102,0.0,1.0,1.9523809523809523,0.9652345818393233,-0.0,1.0,False,IBD_enriched,Parabacteroides_merdae | Bacteroides_thetaiotaomicron | COG1035
