trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
gram positive,gram_positive,1,"(1.867, 1.933]",1.9024330578161435,0.0006650481859558138,223,15
gram positive,gram_positive,1,"(1.933, 2.0]",1.9583688898511904,0.0002105560354612676,168,15
gram positive,gram_positive,2,"(0.00196, 0.0714]",0.027847622891891875,0.17960243152948302,37,30
gram positive,gram_positive,2,"(0.0714, 0.138]",0.11620296664285716,0.03038095238095238,14,30
gram positive,gram_positive,2,"(0.138, 0.204]",0.17921577306451614,0.002171590444066473,31,30
gram positive,gram_positive,2,"(0.204, 0.271]",0.22924456591999987,0.004906578822180124,50,30
gram positive,gram_positive,2,"(0.271, 0.337]",0.2924057429999999,0.04867724867724867,15,30
gram positive,gram_positive,2,"(0.337, 0.404]",0.3668028644999999,0.0,4,30
gram positive,gram_positive,2,"(0.404, 0.47]",0.4358266989999998,0.047619047619047616,9,30
gram positive,gram_positive,2,"(0.47, 0.537]",0.5132157841666667,0.027777777777777776,36,30
gram positive,gram_positive,2,"(0.537, 0.603]",0.5679094476315789,0.043845391223705434,38,30
gram positive,gram_positive,2,"(0.603, 0.67]",0.637071160111111,0.0,45,30
gram positive,gram_positive,2,"(0.67, 0.736]",0.7111096942187497,0.0015884652981427176,64,30
gram positive,gram_positive,2,"(0.736, 0.803]",0.7720723045312498,0.018415178571428572,64,30
gram positive,gram_positive,2,"(0.803, 0.869]",0.8396197737415728,0.0016721498387885568,89,30
gram positive,gram_positive,2,"(0.869, 0.936]",0.8997158875660375,0.003144654088050314,53,30
gram positive,gram_positive,2,"(0.936, 1.002]",0.9655575788846151,0.019312288969064575,26,30
gram positive,gram_positive,2,"(1.002, 1.069]",1.0431066096071429,0.0013800188005366333,84,30
gram positive,gram_positive,2,"(1.069, 1.135]",1.0944581994166667,2.7875341472933043e-05,36,30
gram positive,gram_positive,2,"(1.135, 1.202]",1.172501534384615,0.0,13,30
gram positive,gram_positive,2,"(1.202, 1.268]",1.2313674628666667,0.0,15,30
gram positive,gram_positive,2,"(1.268, 1.335]",1.2997667981764705,0.0,17,30
gram positive,gram_positive,2,"(1.335, 1.401]",1.3718310819249997,0.0,40,30
gram positive,gram_positive,2,"(1.401, 1.468]",1.4364558180303026,0.0,33,30
gram positive,gram_positive,2,"(1.468, 1.534]",1.5061261682045453,0.0,44,30
gram positive,gram_positive,2,"(1.534, 1.601]",1.5676497813043477,0.0,46,30
gram positive,gram_positive,2,"(1.601, 1.667]",1.6374159672835817,0.0,67,30
gram positive,gram_positive,2,"(1.667, 1.734]",1.7035028592777774,0.0003450655624568668,126,30
