trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
obligate anaerobic,obligate_anaerobic,1,"(0.537, 0.603]",0.5710771430000001,0.0,1,21
obligate anaerobic,obligate_anaerobic,1,"(0.67, 0.736]",0.7316080726666664,0.0,3,21
obligate anaerobic,obligate_anaerobic,1,"(0.736, 0.803]",0.7605730637999999,0.0,5,21
obligate anaerobic,obligate_anaerobic,1,"(0.803, 0.869]",0.842720691,0.0,2,21
obligate anaerobic,obligate_anaerobic,1,"(0.869, 0.936]",0.9034553926249999,0.0,8,21
obligate anaerobic,obligate_anaerobic,1,"(0.936, 1.002]",0.9689996024545451,0.03329065300896287,11,21
obligate anaerobic,obligate_anaerobic,1,"(1.002, 1.069]",1.0443336959999996,0.0,3,21
obligate anaerobic,obligate_anaerobic,1,"(1.069, 1.135]",1.1075662423999997,0.0,15,21
obligate anaerobic,obligate_anaerobic,1,"(1.135, 1.202]",1.1866793703225802,0.0,31,21
obligate anaerobic,obligate_anaerobic,1,"(1.202, 1.268]",1.2244332907441857,0.0,43,21
obligate anaerobic,obligate_anaerobic,1,"(1.268, 1.335]",1.2966324461249998,0.0,16,21
obligate anaerobic,obligate_anaerobic,1,"(1.335, 1.401]",1.3806114765232556,1.302117242636527e-05,86,21
obligate anaerobic,obligate_anaerobic,1,"(1.401, 1.468]",1.4312610458450703,0.0001487052025577295,71,21
obligate anaerobic,obligate_anaerobic,1,"(1.468, 1.534]",1.5115029816025638,4.9307668432400224e-05,78,21
obligate anaerobic,obligate_anaerobic,1,"(1.534, 1.601]",1.5651744469484534,0.0010093395387421732,97,21
obligate anaerobic,obligate_anaerobic,1,"(1.601, 1.667]",1.6337318370416665,0.0,48,21
obligate anaerobic,obligate_anaerobic,1,"(1.667, 1.734]",1.7045887716666663,0.0,120,21
obligate anaerobic,obligate_anaerobic,1,"(1.734, 1.8]",1.7667062520816323,2.1611185949847642e-05,98,21
obligate anaerobic,obligate_anaerobic,1,"(1.8, 1.867]",1.8298902630751879,0.00014976114823905183,266,21
obligate anaerobic,obligate_anaerobic,1,"(1.867, 1.933]",1.8962264607681156,0.0008787315642982078,138,21
obligate anaerobic,obligate_anaerobic,1,"(1.933, 2.0]",1.9651300938488372,0.0003728539413891248,86,21
obligate anaerobic,obligate_anaerobic,2,"(0.00196, 0.0714]",0.03464191598275853,0.3018426802391331,58,30
obligate anaerobic,obligate_anaerobic,2,"(0.0714, 0.138]",0.10280786682142848,0.4285071500129827,28,30
obligate anaerobic,obligate_anaerobic,2,"(0.138, 0.204]",0.18052601275581381,0.2910045601332291,86,30
obligate anaerobic,obligate_anaerobic,2,"(0.204, 0.271]",0.24011693457627112,0.4179683762507781,59,30
obligate anaerobic,obligate_anaerobic,2,"(0.271, 0.337]",0.2878041581999998,0.19307862679955706,10,30
obligate anaerobic,obligate_anaerobic,2,"(0.337, 0.404]",0.3760084965999999,0.07058823529411765,5,30
obligate anaerobic,obligate_anaerobic,2,"(0.404, 0.47]",0.44037857849999984,0.36240217595426943,28,30
obligate anaerobic,obligate_anaerobic,2,"(0.47, 0.537]",0.4958550300329668,0.29892295419753956,91,30
obligate anaerobic,obligate_anaerobic,2,"(0.537, 0.603]",0.5833650419230769,0.09168525709879094,13,30
obligate anaerobic,obligate_anaerobic,2,"(0.603, 0.67]",0.61162557925,0.0,4,30
obligate anaerobic,obligate_anaerobic,2,"(0.67, 0.736]",0.6842550529999998,0.0,1,30
obligate anaerobic,obligate_anaerobic,2,"(0.736, 0.803]",0.7730750399999997,0.0,1,30
obligate anaerobic,obligate_anaerobic,2,"(0.803, 0.869]",0.8575429508461536,0.1965700979069286,13,30
obligate anaerobic,obligate_anaerobic,2,"(0.869, 0.936]",0.901827063242424,0.31689087797919196,33,30
obligate anaerobic,obligate_anaerobic,2,"(0.936, 1.002]",0.9719428443124997,0.15122983463175466,16,30
obligate anaerobic,obligate_anaerobic,2,"(1.002, 1.069]",1.0436815124545453,0.07551997602238107,143,30
