trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.47, 0.537]",0.5104084072000001,0.0,5,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.537, 0.603]",0.5448740733333333,0.11794871794871796,3,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.603, 0.67]",0.6324064599090904,0.0,11,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.67, 0.736]",0.7103429914193545,0.002932551319648094,31,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.736, 0.803]",0.7741952131578944,0.0,19,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.803, 0.869]",0.8450411140869563,0.0,23,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.869, 0.936]",0.8965823171578946,0.0,19,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(0.936, 1.002]",0.9640879529999997,0.03586567951397707,14,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.002, 1.069]",1.0329767827999998,0.0,5,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.069, 1.135]",1.1044114484999996,0.0,4,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.135, 1.202]",1.1887078203749997,0.0,8,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.202, 1.268]",1.2297159186666664,0.0,9,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.268, 1.335]",1.3072057734285711,0.0,7,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.335, 1.401]",1.3849429588181819,0.0,22,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.401, 1.468]",1.433116817096774,0.00034058288327738046,31,24
