species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
103_2-180_1,4,0,0.0,1.4496250689999997,0
103_2-20_1,2,0,0.0,2.6609338929999997,0
103_2-26_2,5,0,0.0,2.6734120079999992,0
103_2-335_1,27,0,0.0,2.075289492,0
103_2-338_1,21,0,0.0,2.109455273999999,0
103_2-36_1,2,0,0.0,2.5753052089999997,0
103_2-45_1,5,0,0.0,2.649986822,0
103_2-46_1,3,0,0.0,2.5186101979999997,0
103_2-48_2,3,0,0.0,2.580832197999999,0
103_2-52_1,2,0,0.0,2.582908186,0
104_1-10_2,2,0,0.0,2.275451573,0
104_1-112_1,6,0,0.0,0.8680048569999999,0
104_1-114_2,1,0,0.0,0.8255684889999997,0
104_1-119_1,2,0,0.0,0.7123271959999995,0
104_1-124_1,13,0,0.0,0.7821864919999997,0
104_1-125_1,1,0,0.0,0.7395652339999996,0
104_1-138_1,1,0,0.0,1.6910653349999991,0
104_1-14_1,4,0,0.0,2.3471367219999992,0
104_1-179_1,1,0,0.0,1.3635570319999992,0
104_1-196_1,2,0,0.0,0.9579762239999988,1
104_1-20_1,4,0,0.0,2.587341620999999,0
104_1-223_1,6,0,0.0,0.7567089909999996,0
104_1-229_3,9,0,0.0,0.8434424449999991,0
104_1-234_2,1,0,0.0,0.8355572069999995,0
104_1-238_1,12,0,0.0,0.8263889399999993,0
104_1-239_1,1,0,0.0,0.8238892119999996,0
104_1-257_1,3,0,0.0,1.5228734659999992,0
104_1-269_1,1,0,0.0,0.8515403569999989,0
104_1-26_2,7,0,0.0,2.5998197359999997,0
104_1-298_1,2,0,0.0,1.1133861049999991,0
104_1-308_1,2,0,0.0,1.9720868219999996,0
104_1-318_54,3,0,0.0,1.8734223149999996,0
104_1-318_56,23,0,0.0,1.8710457669999996,0
104_1-326_1,8,0,0.0,1.9207014529999995,0
104_1-32_1,4,0,0.0,2.4840824169999998,0
104_1-330_1,33,0,0.0,2.023021901999999,0
104_1-334_1,14,0,0.0,2.004493717,0
104_1-334_3,5,0,0.0,2.0116400809999995,0
104_1-335_1,152,0,0.0,2.00169722,0
104_1-336_1,5,0,0.0,2.0196857679999995,0
104_1-338_1,119,0,0.0,2.0358630019999997,0
104_1-34_1,5,0,0.0,2.389744799,0
104_1-38_1,1,0,0.0,2.481140457999999,0
104_1-39_2,2,0,0.0,2.4890940059999997,0
104_1-39_5,1,0,0.0,2.493857002999999,0
104_1-40_1,2,0,0.0,2.4906678909999997,0
104_1-42_1,2,0,0.0,2.485348927999999,0
104_1-42_2,6,0,0.0,2.4845566489999995,0
104_1-43_1,10,0,0.0,2.4911456589999994,0
